Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7
-0.0288,-0.0301,-0.0275,-0.0272,-0.0272,-0.0255,-0.0295
-0.0288,-0.0249,-0.0275,-0.0272,-0.0272,-0.0255,-0.0295
-0.0282,-0.0249,-0.0275,-0.0272,-0.0272,-0.0255,-0.0295
-0.0268,-0.0249,-0.0275,-0.0272,-0.0265,-0.0255,-0.0295
-0.0255,-0.0249,-0.0249,-0.0268,-0.0245,-0.0255,-0.0295
-0.0255,-0.0249,-0.0249,-0.0239,-0.0245,-0.0255,-0.0295
-0.0255,-0.0239,-0.0249,-0.0239,-0.0245,-0.0255,-0.0295
-0.0255,-0.0239,-0.0249,-0.0239,-0.0245,-0.0255,-0.0295
-0.0255,-0.0239,-0.0249,-0.0239,-0.0245,-0.0255,-0.0295
-0.0255,-0.0239,-0.0209,-0.0239,-0.0236,-0.0223,-0.0295
-0.0252,-0.0236,-0.0209,-0.0239,-0.0236,-0.0223,-0.0295
-0.0236,-0.0236,-0.0209,-0.0219,-0.0236,-0.0219,-0.0295
-0.0223,-0.0232,-0.0209,-0.0213,-0.0236,-0.0219,-0.0295
-0.0223,-0.0232,-0.0209,-0.0213,-0.0232,-0.0219,-0.0295
-0.0223,-0.0223,-0.0206,-0.0193,-0.0216,-0.0213,-0.0295
-0.0223,-0.0209,-0.0183,-0.0193,-0.0213,-0.019,-0.0295
-0.0223,-0.0206,-0.0183,-0.0193,-0.016,-0.019,-0.0295
-0.0223,-0.0193,-0.0183,-0.0193,-0.016,-0.018,-0.0295
-0.0219,-0.019,-0.0183,-0.0164,-0.016,-0.0167,-0.0295
-0.0209,-0.0187,-0.0183,-0.0154,-0.016,-0.0167,-0.0295
-0.0209,-0.0187,-0.0177,-0.0154,-0.016,-0.0167,-0.0295
-0.02,-0.0183,-0.0177,-0.0154,-0.0154,-0.0151,-0.0295
-0.02,-0.0167,-0.0164,-0.0154,-0.0144,-0.0137,-0.0295
-0.0193,-0.0167,-0.0144,-0.0137,-0.0144,-0.0137,-0.0295
-0.0193,-0.0147,-0.0144,-0.0137,-0.0144,-0.0137,-0.0295
-0.0187,-0.0147,-0.0141,-0.0131,-0.0115,-0.0137,-0.0295
-0.0183,-0.0134,-0.0128,-0.0131,-0.0108,-0.0128,-0.0295
-0.0183,-0.0134,-0.0124,-0.0111,-0.0085,-0.0095,-0.0295
-0.0167,-0.0118,-0.0124,-0.0111,-0.0085,-0.0095,-0.0295
-0.0167,-0.0118,-0.0115,-0.0111,-0.0085,-0.0088,-0.0295
-0.0167,-0.0115,-0.0105,-0.0082,-0.0085,-0.0088,-0.0295
-0.0167,-0.0115,-0.0105,-0.0082,-0.0072,-0.0082,-0.0295
-0.0167,-0.0101,-0.0098,-0.0082,-0.0049,-0.0082,-0.0295
-0.0164,-0.0075,-0.0095,-0.0075,-0.0043,-0.0082,-0.0295
-0.0157,-0.0075,-0.0095,-0.0075,-0.0013,-0.0072,-0.0295
-0.0151,-0.0072,-0.0049,-0.0075,-0.0013,-0.0072,-0.0295
-0.0147,-0.0059,-0.0049,-0.0075,-0.0013,-0.0069,-0.0295
-0.0147,-0.0056,-0.0049,-0.0072,-0.0013,-0.0065,-0.0295
-0.0147,-0.0056,-0.0049,-0.0065,-0.0013,-0.0052,-0.0295
-0.0141,-0.0056,-0.0049,-0.0056,-0.0013,-0.0052,-0.0295
-0.0131,-0.0049,-0.0049,-0.0056,0.0003,-0.0046,-0.0295
-0.0121,-0.0046,-0.0049,-0.0056,0.0029,-0.0039,-0.0295
-0.0121,-0.0046,-0.0043,-0.0043,0.0029,-0.0033,-0.0295
-0.0121,-0.0046,-0.0039,-0.0039,0.0029,-0.0033,-0.0295
-0.0118,-0.0029,-0.0036,-0.0039,0.0029,-0.0026,-0.0295
-0.0115,-0.0029,-0.0033,-0.0036,0.0029,-0.0023,-0.0295
-0.0108,-0.0029,-0.002,-0.0036,0.0029,-0.002,-0.0295
-0.0108,-0.0029,-0.002,0.002,0.0039,-0.002,-0.0295
-0.0105,-0.0029,0.001,0.002,0.0039,-0.0013,-0.0295
-0.0098,-0.0029,0.001,0.002,0.0056,-0.001,-0.0295
-0.0098,-0.002,0.001,0.002,0.0056,-0.001,-0.0295
-0.0092,-0.002,0.001,0.002,0.0056,-0.001,-0.0295
-0.0092,-0.0016,0.0013,0.002,0.0056,-0.001,-0.0295
-0.0079,-0.0013,0.0013,0.002,0.0056,-0.0003,-0.0295
-0.0079,-0.0007,0.0013,0.002,0.0056,0.0003,-0.0295
-0.0079,0.0003,0.0013,0.002,0.0056,0.0003,-0.0295
-0.0072,0.0003,0.0013,0.0023,0.0059,0.0007,-0.0295
-0.0072,0.0003,0.0023,0.0029,0.0059,0.0029,-0.0295
-0.0072,0.0013,0.0023,0.0039,0.0069,0.0029,-0.0295
-0.0065,0.002,0.0029,0.0043,0.0072,0.0029,-0.0295
-0.0056,0.002,0.0029,0.0043,0.0072,0.0029,-0.0295
-0.0056,0.0036,0.0029,0.0043,0.0072,0.0033,-0.0295
-0.0056,0.0036,0.0029,0.0043,0.0072,0.0033,-0.0295
-0.0052,0.0036,0.0029,0.0056,0.0072,0.0033,-0.0295
-0.0033,0.0036,0.0036,0.0056,0.0072,0.0033,-0.0295
-0.0033,0.0036,0.0039,0.0056,0.0075,0.0033,-0.0295
-0.0033,0.0036,0.0039,0.0059,0.0075,0.0033,-0.0295
-0.0033,0.0036,0.0039,0.0059,0.0075,0.0033,-0.0295
-0.0033,0.0036,0.0043,0.0059,0.0075,0.0033,-0.0295
-0.0033,0.0036,0.0043,0.0065,0.0075,0.0043,-0.0295
-0.0033,0.0043,0.0043,0.0065,0.0075,0.0043,-0.0295
-0.0026,0.0043,0.0046,0.0065,0.0075,0.0052,-0.0295
-0.0023,0.0043,0.0059,0.0065,0.0075,0.0052,-0.0295
-0.0023,0.0043,0.0059,0.0065,0.0075,0.0052,-0.0295
-0.002,0.0046,0.0059,0.0072,0.0079,0.0052,-0.0295
-0.001,0.0046,0.0059,0.0072,0.0079,0.0052,-0.0295
-0.001,0.0049,0.0059,0.0072,0.0079,0.0052,-0.0295
-0.001,0.0052,0.0059,0.0072,0.0079,0.0056,-0.0295
-0.001,0.0052,0.0059,0.0072,0.0079,0.0062,-0.0295
-0.001,0.0052,0.0059,0.0072,0.0082,0.0062,-0.0295
-0.0003,0.0052,0.0059,0.0079,0.0082,0.0062,-0.0295
-0.0003,0.0059,0.0059,0.0079,0.0088,0.0062,-0.0295
-0.0003,0.0059,0.0069,0.0079,0.0088,0.0062,-0.0295
0.0,0.0062,0.0069,0.0079,0.0088,0.0065,-0.0295
