Generation,Mean,Std,Min,Max
1,-0.0377,0.0022,-0.0448,-0.0288
2,-0.0368,0.0021,-0.0419,-0.0288
3,-0.036,0.0021,-0.0403,-0.0282
4,-0.0353,0.0021,-0.0406,-0.0268
5,-0.0347,0.0021,-0.0409,-0.0255
6,-0.0341,0.002,-0.0403,-0.0255
7,-0.0333,0.0019,-0.0396,-0.0255
8,-0.0327,0.0019,-0.0383,-0.0255
9,-0.032,0.0018,-0.038,-0.0255
10,-0.0314,0.0018,-0.0373,-0.0255
11,-0.0308,0.0017,-0.0367,-0.0252
12,-0.0301,0.0017,-0.0347,-0.0236
13,-0.0294,0.0017,-0.034,-0.0223
14,-0.0288,0.0017,-0.0337,-0.0223
15,-0.0283,0.0016,-0.0324,-0.0223
16,-0.0278,0.0015,-0.0331,-0.0223
17,-0.0273,0.0016,-0.0337,-0.0223
18,-0.0269,0.0015,-0.0314,-0.0223
19,-0.0265,0.0016,-0.0337,-0.0219
20,-0.026,0.0015,-0.0314,-0.0209
21,-0.0256,0.0016,-0.0311,-0.0209
22,-0.0252,0.0015,-0.0295,-0.02
23,-0.0248,0.0016,-0.0295,-0.02
24,-0.0244,0.0016,-0.0288,-0.0193
25,-0.024,0.0015,-0.0298,-0.0193
26,-0.0237,0.0015,-0.0291,-0.0187
27,-0.0234,0.0015,-0.0288,-0.0183
28,-0.0231,0.0014,-0.0291,-0.0183
29,-0.0228,0.0015,-0.0282,-0.0167
30,-0.0226,0.0014,-0.0275,-0.0167
31,-0.0223,0.0015,-0.0272,-0.0167
32,-0.0219,0.0015,-0.0262,-0.0167
33,-0.0217,0.0015,-0.0278,-0.0167
34,-0.0213,0.0015,-0.0259,-0.0164
35,-0.021,0.0015,-0.0249,-0.0157
36,-0.0205,0.0016,-0.0249,-0.0151
37,-0.0202,0.0016,-0.0239,-0.0147
38,-0.0197,0.0016,-0.0252,-0.0147
39,-0.0193,0.0016,-0.0239,-0.0147
40,-0.019,0.0016,-0.0236,-0.0141
41,-0.0186,0.0016,-0.0262,-0.0131
42,-0.0183,0.0016,-0.0232,-0.0121
43,-0.0179,0.0016,-0.0226,-0.0121
44,-0.0174,0.0017,-0.0219,-0.0121
45,-0.017,0.0016,-0.0213,-0.0118
46,-0.0166,0.0017,-0.0213,-0.0115
47,-0.0161,0.0017,-0.0203,-0.0108
48,-0.0157,0.0017,-0.0203,-0.0108
49,-0.0152,0.0018,-0.0206,-0.0105
50,-0.0147,0.0018,-0.0196,-0.0098
51,-0.0141,0.0017,-0.0187,-0.0098
52,-0.0136,0.0016,-0.019,-0.0092
53,-0.0132,0.0017,-0.0187,-0.0092
54,-0.0128,0.0016,-0.017,-0.0079
55,-0.0125,0.0015,-0.017,-0.0079
56,-0.0121,0.0014,-0.0157,-0.0079
57,-0.0119,0.0015,-0.0209,-0.0072
58,-0.0116,0.0015,-0.0157,-0.0072
59,-0.0113,0.0014,-0.0164,-0.0072
60,-0.011,0.0015,-0.0154,-0.0065
61,-0.0107,0.0015,-0.0154,-0.0056
62,-0.0103,0.0015,-0.0147,-0.0056
63,-0.01,0.0015,-0.0147,-0.0056
64,-0.0097,0.0016,-0.0157,-0.0052
65,-0.0093,0.0016,-0.0137,-0.0033
66,-0.0091,0.0016,-0.0134,-0.0033
67,-0.0088,0.0017,-0.0144,-0.0033
68,-0.0085,0.0017,-0.0128,-0.0033
69,-0.0081,0.0017,-0.0124,-0.0033
70,-0.0078,0.0016,-0.0124,-0.0033
71,-0.0075,0.0016,-0.0115,-0.0033
72,-0.0071,0.0015,-0.0105,-0.0026
73,-0.007,0.0016,-0.0111,-0.0023
74,-0.0068,0.0015,-0.0108,-0.0023
75,-0.0065,0.0016,-0.0108,-0.002
76,-0.0063,0.0016,-0.0108,-0.001
77,-0.0059,0.0015,-0.0105,-0.001
78,-0.0057,0.0015,-0.0101,-0.001
79,-0.0054,0.0015,-0.0098,-0.001
80,-0.0052,0.0015,-0.0098,-0.001
81,-0.0048,0.0015,-0.0095,-0.0003
82,-0.0046,0.0015,-0.0088,-0.0003
83,-0.0043,0.0015,-0.0088,-0.0003
84,-0.004,0.0015,-0.0082,0.0
85,-0.0037,0.0015,-0.0079,0.0
86,-0.0035,0.0014,-0.0075,0.0007
87,-0.0034,0.0014,-0.0075,0.0007
88,-0.0033,0.0014,-0.0079,0.0007
89,-0.0032,0.0014,-0.0072,0.0007
90,-0.003,0.0014,-0.0075,0.0013
91,-0.0029,0.0015,-0.0072,0.0013
92,-0.0027,0.0014,-0.0069,0.0013
93,-0.0026,0.0014,-0.0072,0.0013
94,-0.0024,0.0014,-0.0062,0.0013
95,-0.0023,0.0013,-0.0062,0.0013
96,-0.0023,0.0014,-0.0065,0.0013
97,-0.0022,0.0014,-0.0065,0.0013
98,-0.0021,0.0013,-0.0059,0.0016
99,-0.002,0.0014,-0.0056,0.0016
100,-0.0018,0.0014,-0.0059,0.002
101,-0.0017,0.0014,-0.0056,0.0023
102,-0.0015,0.0014,-0.0056,0.0023
103,-0.0014,0.0014,-0.0056,0.0023
104,-0.0014,0.0015,-0.0056,0.0023
105,-0.0012,0.0014,-0.0052,0.0026
106,-0.0011,0.0014,-0.0065,0.0026
107,-0.001,0.0015,-0.0049,0.0026
108,-0.0008,0.0014,-0.0046,0.0026
109,-0.0008,0.0014,-0.0052,0.0026
110,-0.0007,0.0015,-0.0065,0.0026
111,-0.0006,0.0014,-0.0043,0.0026
112,-0.0006,0.0015,-0.0046,0.0026
113,-0.0005,0.0015,-0.0046,0.0026
114,-0.0003,0.0014,-0.0043,0.0029
115,-0.0003,0.0014,-0.0039,0.0029
116,-0.0003,0.0015,-0.0052,0.0029
117,-0.0001,0.0014,-0.0046,0.0039
118,-0.0001,0.0014,-0.0043,0.0039
119,-0.0,0.0014,-0.0043,0.0039
120,0.0001,0.0014,-0.0039,0.0039
121,0.0001,0.0015,-0.0043,0.0039
122,0.0001,0.0014,-0.0036,0.0039
123,0.0002,0.0014,-0.0043,0.0039
124,0.0004,0.0014,-0.0039,0.0039
125,0.0003,0.0014,-0.0036,0.0043
126,0.0003,0.0015,-0.0036,0.0043
127,0.0004,0.0014,-0.0029,0.0043
128,0.0004,0.0014,-0.0036,0.0043
129,0.0006,0.0014,-0.0039,0.0043
130,0.0006,0.0015,-0.0033,0.0043
131,0.0008,0.0014,-0.0033,0.0043
132,0.0009,0.0015,-0.0029,0.0043
133,0.0009,0.0016,-0.0033,0.0043
134,0.001,0.0015,-0.0029,0.0046
135,0.0011,0.0015,-0.0033,0.0049
136,0.0011,0.0015,-0.0039,0.0049
137,0.0012,0.0015,-0.0029,0.0049
138,0.0013,0.0015,-0.0026,0.0049
139,0.0014,0.0015,-0.0033,0.0049
140,0.0015,0.0015,-0.0026,0.0052
141,0.0015,0.0015,-0.0026,0.0056
142,0.0015,0.0015,-0.0023,0.0056
143,0.0015,0.0015,-0.0026,0.0059
144,0.0017,0.0015,-0.0026,0.0059
145,0.0017,0.0015,-0.0029,0.0059
146,0.0019,0.0015,-0.0039,0.0059
147,0.0019,0.0014,-0.0026,0.0059
148,0.002,0.0014,-0.0023,0.0059
149,0.002,0.0015,-0.002,0.0059
150,0.002,0.0015,-0.002,0.0059
151,0.002,0.0014,-0.002,0.0059
152,0.002,0.0015,-0.002,0.0059
153,0.0021,0.0015,-0.0016,0.0065
154,0.0022,0.0015,-0.0016,0.0065
155,0.0022,0.0015,-0.0016,0.0065
156,0.0023,0.0016,-0.002,0.0072
157,0.0024,0.0015,-0.0029,0.0072
158,0.0024,0.0017,-0.0016,0.0072
159,0.0027,0.0017,-0.002,0.0072
160,0.0028,0.0017,-0.0023,0.0072
161,0.003,0.0017,-0.0016,0.0072
162,0.0031,0.0016,-0.0013,0.0072
163,0.0032,0.0017,-0.002,0.0082
164,0.0033,0.0016,-0.001,0.0082
165,0.0033,0.0016,-0.002,0.0082
166,0.0035,0.0016,-0.001,0.0082
167,0.0036,0.0016,-0.002,0.0082
168,0.0037,0.0015,-0.0016,0.0085
169,0.0038,0.0017,-0.0016,0.0085
170,0.0039,0.0017,-0.0016,0.0085
171,0.004,0.0017,-0.0016,0.0085
172,0.0042,0.0016,-0.001,0.0085
173,0.0042,0.0015,-0.0003,0.0085
174,0.0043,0.0016,-0.0016,0.0085
175,0.0044,0.0016,0.0,0.0085
176,0.0044,0.0016,-0.0003,0.0085
177,0.0044,0.0016,-0.0003,0.0085
178,0.0044,0.0016,0.0003,0.0085
179,0.0044,0.0016,-0.001,0.0085
180,0.0044,0.0016,0.0003,0.0085
181,0.0045,0.0017,0.0,0.0085
182,0.0046,0.0017,-0.001,0.0085
183,0.0046,0.0016,0.0003,0.0085
184,0.0046,0.0016,-0.0013,0.0085
185,0.0046,0.0016,0.0007,0.0085
186,0.0046,0.0016,-0.0003,0.0085
187,0.0046,0.0016,-0.0003,0.0088
188,0.0047,0.0016,0.0007,0.0088
189,0.0047,0.0016,-0.0003,0.0088
