Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0286,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0278,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0278,-0.0278,-0.0303,-0.0286,-0.0262,-0.0303,-0.027
-0.0278,-0.0278,-0.0303,-0.0278,-0.0262,-0.0295,-0.027
-0.0278,-0.0278,-0.0303,-0.027,-0.0262,-0.0295,-0.027
-0.0278,-0.0278,-0.0303,-0.0254,-0.0254,-0.0295,-0.027
-0.0262,-0.0278,-0.0295,-0.0254,-0.0254,-0.0295,-0.027
-0.0262,-0.0278,-0.0295,-0.0254,-0.0254,-0.0295,-0.027
-0.0262,-0.0278,-0.0295,-0.0254,-0.0245,-0.0278,-0.027
-0.0262,-0.0278,-0.0286,-0.0254,-0.0229,-0.0278,-0.027
-0.0262,-0.0278,-0.0286,-0.0245,-0.0229,-0.0262,-0.027
-0.0262,-0.0278,-0.0286,-0.0245,-0.0164,-0.0262,-0.027
-0.0254,-0.0278,-0.0286,-0.0229,-0.0164,-0.0262,-0.027
-0.0254,-0.0278,-0.0262,-0.0229,-0.0164,-0.0262,-0.027
-0.0237,-0.0278,-0.0262,-0.0229,-0.0164,-0.0262,-0.027
-0.0213,-0.0278,-0.0262,-0.0213,-0.0164,-0.0237,-0.027
-0.0213,-0.0278,-0.0262,-0.0213,-0.0164,-0.0237,-0.027
-0.0213,-0.0278,-0.0262,-0.0213,-0.0164,-0.0237,-0.027
-0.0213,-0.0278,-0.0254,-0.0213,-0.0164,-0.0237,-0.027
-0.0213,-0.0278,-0.0254,-0.0213,-0.0164,-0.0237,-0.027
-0.0213,-0.0278,-0.0245,-0.0213,-0.0164,-0.0237,-0.027
-0.0213,-0.0278,-0.0245,-0.0213,-0.0164,-0.0237,-0.027
-0.0213,-0.027,-0.0245,-0.0196,-0.0164,-0.0237,-0.027
-0.0213,-0.027,-0.0229,-0.0196,-0.0164,-0.0237,-0.027
-0.0213,-0.027,-0.0229,-0.0188,-0.0164,-0.0237,-0.027
-0.0213,-0.027,-0.0229,-0.0172,-0.0164,-0.0237,-0.027
-0.0213,-0.027,-0.0213,-0.0172,-0.0164,-0.0237,-0.027
-0.0213,-0.0262,-0.0213,-0.0155,-0.0164,-0.0229,-0.027
-0.0213,-0.0262,-0.0205,-0.0155,-0.0131,-0.0229,-0.027
-0.0213,-0.0262,-0.0205,-0.0155,-0.0131,-0.0229,-0.027
-0.0213,-0.0262,-0.0205,-0.0155,-0.0131,-0.0221,-0.027
-0.0188,-0.0262,-0.0205,-0.0155,-0.0131,-0.0205,-0.027
-0.0188,-0.0262,-0.0205,-0.0139,-0.0131,-0.0205,-0.027
-0.0188,-0.0213,-0.0172,-0.0139,-0.0131,-0.0205,-0.027
-0.0188,-0.0213,-0.0172,-0.0139,-0.0131,-0.0205,-0.027
-0.0188,-0.0213,-0.0172,-0.0139,-0.0115,-0.0205,-0.027
-0.0188,-0.0213,-0.0172,-0.0139,-0.0115,-0.0205,-0.027
-0.018,-0.0213,-0.0172,-0.0139,-0.0115,-0.0205,-0.027
-0.018,-0.0213,-0.0164,-0.0139,-0.0115,-0.0205,-0.027
-0.018,-0.0213,-0.0147,-0.0139,-0.0115,-0.0205,-0.027
-0.0172,-0.0213,-0.0147,-0.0123,-0.0115,-0.0188,-0.027
-0.0172,-0.0213,-0.0147,-0.0123,-0.0115,-0.0188,-0.027
-0.0172,-0.0213,-0.0147,-0.0123,-0.0115,-0.0188,-0.027
-0.0164,-0.0213,-0.0139,-0.0123,-0.0115,-0.0188,-0.027
-0.0164,-0.0213,-0.0139,-0.0123,-0.0106,-0.0188,-0.027
-0.0147,-0.0205,-0.0139,-0.0123,-0.0106,-0.0188,-0.027
-0.0147,-0.0205,-0.0139,-0.0123,-0.0106,-0.018,-0.027
-0.0147,-0.0205,-0.0139,-0.0123,-0.0106,-0.018,-0.027
