Generation,Mean,Std,Min,Max
1,-0.0397,0.0032,-0.0475,-0.0303
2,-0.044,0.0029,-0.0499,-0.0303
3,-0.0461,0.0024,-0.0524,-0.0303
4,-0.0474,0.0022,-0.0524,-0.0303
5,-0.0481,0.0023,-0.0548,-0.0303
6,-0.0486,0.0024,-0.054,-0.0303
7,-0.0489,0.0023,-0.054,-0.0303
8,-0.0491,0.0023,-0.054,-0.0303
9,-0.0493,0.0023,-0.0556,-0.0303
10,-0.0494,0.0023,-0.0548,-0.0303
11,-0.0494,0.0022,-0.0548,-0.0303
12,-0.0495,0.0022,-0.054,-0.0303
13,-0.0495,0.0024,-0.0548,-0.0303
14,-0.0494,0.0023,-0.054,-0.0303
15,-0.0493,0.0022,-0.054,-0.0303
16,-0.0493,0.0023,-0.0548,-0.0303
17,-0.0491,0.0024,-0.0548,-0.0303
18,-0.0489,0.0023,-0.054,-0.0303
19,-0.0487,0.0024,-0.0548,-0.0303
20,-0.0485,0.0023,-0.0532,-0.0303
21,-0.0485,0.0023,-0.0532,-0.0303
22,-0.0484,0.0024,-0.054,-0.0303
23,-0.0482,0.0023,-0.0556,-0.0303
24,-0.0479,0.0023,-0.0532,-0.0303
25,-0.0477,0.0023,-0.0532,-0.0303
26,-0.0473,0.0022,-0.0532,-0.0303
27,-0.0469,0.0022,-0.0524,-0.0303
28,-0.0466,0.0023,-0.0516,-0.0303
29,-0.0462,0.0023,-0.0532,-0.0303
30,-0.046,0.0023,-0.0507,-0.0303
31,-0.0457,0.0023,-0.0507,-0.0303
32,-0.0453,0.0023,-0.0516,-0.0303
33,-0.045,0.0022,-0.0507,-0.0303
34,-0.0446,0.0023,-0.0507,-0.0303
35,-0.0443,0.0023,-0.0499,-0.0303
36,-0.0437,0.0025,-0.0491,-0.0303
37,-0.0433,0.0025,-0.0499,-0.0303
38,-0.0429,0.0025,-0.0483,-0.0303
39,-0.0423,0.0025,-0.0491,-0.0303
40,-0.0419,0.0024,-0.0499,-0.0303
41,-0.0415,0.0023,-0.0483,-0.0303
42,-0.0411,0.0024,-0.0466,-0.0303
43,-0.0406,0.0024,-0.0466,-0.0303
44,-0.0402,0.0024,-0.045,-0.0303
45,-0.0397,0.0024,-0.045,-0.0303
46,-0.0391,0.0025,-0.045,-0.0295
47,-0.0387,0.0024,-0.0491,-0.0295
48,-0.0382,0.0025,-0.045,-0.0295
49,-0.0378,0.0024,-0.045,-0.0295
50,-0.0375,0.0025,-0.0442,-0.0295
51,-0.0371,0.0025,-0.0434,-0.0278
52,-0.0368,0.0025,-0.0434,-0.0278
53,-0.0364,0.0025,-0.0426,-0.0262
54,-0.036,0.0024,-0.0434,-0.0262
55,-0.0355,0.0024,-0.0409,-0.0262
56,-0.0353,0.0026,-0.0426,-0.0262
57,-0.035,0.0025,-0.0409,-0.0262
58,-0.0347,0.0026,-0.0401,-0.0237
59,-0.0343,0.0025,-0.0401,-0.0237
60,-0.034,0.0025,-0.0393,-0.0237
61,-0.0337,0.0026,-0.0409,-0.0237
62,-0.0334,0.0025,-0.0393,-0.0237
63,-0.0331,0.0024,-0.0385,-0.0237
64,-0.0329,0.0025,-0.0401,-0.0237
65,-0.0326,0.0025,-0.0385,-0.0237
66,-0.0324,0.0026,-0.0385,-0.0237
67,-0.0322,0.0025,-0.0393,-0.0237
68,-0.0321,0.0025,-0.0385,-0.0237
69,-0.0318,0.0024,-0.0376,-0.0237
70,-0.0316,0.0025,-0.0385,-0.0229
71,-0.0313,0.0023,-0.0401,-0.0229
72,-0.0312,0.0023,-0.0393,-0.0229
73,-0.0311,0.0024,-0.0368,-0.0221
74,-0.0309,0.0024,-0.0385,-0.0205
75,-0.0308,0.0025,-0.0368,-0.0205
76,-0.0305,0.0027,-0.0368,-0.0205
77,-0.0301,0.0026,-0.0376,-0.0205
78,-0.03,0.0026,-0.036,-0.0205
79,-0.0297,0.0025,-0.036,-0.0205
80,-0.0296,0.0026,-0.0368,-0.0205
81,-0.0293,0.0026,-0.0352,-0.0205
82,-0.029,0.0028,-0.0352,-0.0205
83,-0.0285,0.0028,-0.0352,-0.0188
84,-0.0281,0.0026,-0.036,-0.0188
85,-0.028,0.0025,-0.0368,-0.0188
86,-0.0279,0.0026,-0.0344,-0.0188
87,-0.0278,0.0026,-0.0336,-0.0188
88,-0.0276,0.0028,-0.0352,-0.0188
89,-0.0273,0.0028,-0.0352,-0.018
90,-0.027,0.0027,-0.0336,-0.018
91,-0.0269,0.0025,-0.0344,-0.018
92,-0.0268,0.0026,-0.0327,-0.018
93,-0.0267,0.0026,-0.0336,-0.0172
94,-0.0267,0.0025,-0.0327,-0.0172
95,-0.0266,0.0023,-0.0327,-0.0172
96,-0.0266,0.0025,-0.0336,-0.0172
97,-0.0264,0.0025,-0.0327,-0.0155
98,-0.0263,0.0025,-0.0319,-0.0155
99,-0.0261,0.0027,-0.0327,-0.0155
100,-0.026,0.0026,-0.0327,-0.0155
101,-0.0259,0.0026,-0.0319,-0.0155
102,-0.0258,0.0027,-0.0327,-0.0155
103,-0.0256,0.0027,-0.0327,-0.0139
104,-0.0255,0.0027,-0.0327,-0.0139
105,-0.0255,0.0026,-0.0327,-0.0139
106,-0.0256,0.0025,-0.0319,-0.0139
107,-0.0253,0.0025,-0.0311,-0.0139
108,-0.0253,0.0026,-0.0311,-0.0139
109,-0.0253,0.0028,-0.0319,-0.0139
110,-0.025,0.0028,-0.0319,-0.0139
111,-0.0248,0.0027,-0.0319,-0.0139
112,-0.0247,0.0027,-0.0319,-0.0139
113,-0.0247,0.0027,-0.0319,-0.0139
114,-0.0245,0.0026,-0.0319,-0.0139
115,-0.0244,0.0028,-0.0319,-0.0139
116,-0.0243,0.0028,-0.0319,-0.0139
117,-0.0242,0.003,-0.0319,-0.0131
118,-0.0239,0.003,-0.0311,-0.0115
119,-0.0237,0.0031,-0.0311,-0.0115
120,-0.0234,0.0029,-0.0303,-0.0115
121,-0.0231,0.0031,-0.0303,-0.0115
122,-0.0231,0.0031,-0.0303,-0.0106
123,-0.0228,0.0033,-0.0303,-0.0106
124,-0.0227,0.0032,-0.0311,-0.0106
125,-0.0225,0.0031,-0.0295,-0.0106
126,-0.0223,0.0031,-0.0286,-0.0106
127,-0.0221,0.0032,-0.0303,-0.0106
128,-0.0219,0.0033,-0.0295,-0.0106
129,-0.0218,0.0031,-0.0286,-0.0106
130,-0.0219,0.0033,-0.0295,-0.0098
131,-0.0216,0.0033,-0.0295,-0.0098
132,-0.0216,0.0033,-0.0295,-0.0098
133,-0.0215,0.0035,-0.0286,-0.0098
134,-0.0211,0.0035,-0.0295,-0.009
135,-0.021,0.0035,-0.0295,-0.0082
136,-0.0208,0.0034,-0.0311,-0.0082
137,-0.0207,0.0032,-0.0278,-0.0082
138,-0.0208,0.0033,-0.0286,-0.0082
139,-0.0207,0.0033,-0.0278,-0.0082
140,-0.0205,0.0034,-0.0303,-0.0082
141,-0.0203,0.0034,-0.0295,-0.0082
142,-0.0203,0.0035,-0.0278,-0.0082
143,-0.0201,0.0035,-0.0295,-0.0082
144,-0.0199,0.0035,-0.0278,-0.0082
145,-0.0197,0.0035,-0.0295,-0.0082
146,-0.0196,0.0036,-0.0278,-0.0057
147,-0.0194,0.0035,-0.0286,-0.0057
148,-0.0193,0.0033,-0.0278,-0.0057
149,-0.0193,0.0034,-0.0303,-0.0057
150,-0.0191,0.0034,-0.0286,-0.0057
151,-0.0192,0.0033,-0.0278,-0.0057
152,-0.0189,0.0033,-0.0278,-0.0057
153,-0.0191,0.0034,-0.027,-0.0057
154,-0.0189,0.0034,-0.0262,-0.0057
155,-0.0187,0.0035,-0.0278,-0.0057
156,-0.0187,0.0034,-0.0278,-0.0057
157,-0.0186,0.0035,-0.027,-0.0057
158,-0.0185,0.0033,-0.0278,-0.0057
159,-0.0185,0.0032,-0.027,-0.0057
160,-0.0185,0.0035,-0.027,-0.0057
161,-0.0182,0.0035,-0.027,-0.0057
162,-0.018,0.0034,-0.0278,-0.0057
163,-0.018,0.0033,-0.0262,-0.0057
164,-0.0183,0.0033,-0.0254,-0.0057
165,-0.0183,0.0035,-0.0278,-0.0057
166,-0.0179,0.0034,-0.027,-0.0057
167,-0.0178,0.0033,-0.0262,-0.0057
168,-0.0179,0.0034,-0.027,-0.0057
169,-0.0178,0.0032,-0.0262,-0.0057
170,-0.0179,0.0034,-0.0262,-0.0057
171,-0.0176,0.0035,-0.0262,-0.0033
172,-0.0177,0.0034,-0.027,-0.0033
173,-0.0176,0.0034,-0.027,-0.0033
174,-0.0176,0.0034,-0.027,-0.0033
175,-0.0175,0.0034,-0.0262,-0.0033
176,-0.0175,0.0035,-0.0262,-0.0033
177,-0.0176,0.0034,-0.0286,-0.0033
178,-0.0175,0.0034,-0.0262,-0.0033
179,-0.0176,0.0035,-0.0262,-0.0033
180,-0.0177,0.0033,-0.0262,-0.0033
