Generation,Best,Mean,Std,Min,Max
1,0.1801,0.1347,0.0139,0.0782,0.1801
2,0.1841,0.1347,0.014,0.0774,0.1841
3,0.1841,0.135,0.0141,0.0709,0.1841
4,0.1857,0.135,0.0142,0.0725,0.1857
5,0.1866,0.1348,0.0141,0.0799,0.1866
6,0.1866,0.1348,0.0141,0.0766,0.1866
7,0.1923,0.1347,0.0141,0.0741,0.1923
8,0.1939,0.1349,0.0141,0.0741,0.1939
9,0.1939,0.135,0.014,0.0799,0.1939
10,0.1939,0.135,0.0142,0.0733,0.1939
11,0.1939,0.1349,0.0141,0.0799,0.1939
12,0.1939,0.1349,0.014,0.0807,0.1939
13,0.1939,0.135,0.0141,0.0741,0.1939
14,0.1939,0.1348,0.014,0.0766,0.1939
15,0.1939,0.1349,0.014,0.0782,0.1939
16,0.1939,0.135,0.014,0.0733,0.1939
17,0.1939,0.135,0.0141,0.075,0.1939
18,0.1939,0.1351,0.0142,0.0733,0.1939
19,0.1939,0.135,0.014,0.0815,0.1939
20,0.1939,0.1349,0.0141,0.0799,0.1939
21,0.1939,0.135,0.0141,0.0782,0.1939
22,0.1939,0.1349,0.0142,0.0701,0.1939
23,0.1939,0.1348,0.0141,0.0725,0.1939
24,0.1939,0.1349,0.0141,0.0831,0.1939
25,0.1939,0.1349,0.0142,0.0831,0.1939
26,0.1939,0.1349,0.0142,0.0652,0.1939
27,0.1939,0.135,0.0142,0.0807,0.1939
28,0.1939,0.135,0.0142,0.0733,0.1939
29,0.1939,0.1351,0.0142,0.0693,0.1939
30,0.1939,0.1349,0.0141,0.0807,0.1939
31,0.1939,0.1347,0.0142,0.0799,0.1939
32,0.1939,0.1349,0.0141,0.0799,0.1939
33,0.1939,0.1348,0.0141,0.0815,0.1939
34,0.1939,0.1348,0.0141,0.0799,0.1939
35,0.1939,0.1348,0.0142,0.0733,0.1939
36,0.1939,0.135,0.0142,0.0839,0.1939
37,0.1939,0.1349,0.0141,0.0774,0.1939
