Generation,Mean,Std,Min,Max
1,0.5058,0.0,0.5058,0.5058
2,0.4649,0.0414,0.3532,0.5058
3,0.447,0.051,0.2874,0.5058
4,0.4368,0.0532,0.2515,0.5058
5,0.4288,0.0549,0.2264,0.5058
6,0.4228,0.0563,0.2707,0.5058
7,0.4177,0.057,0.2291,0.5058
8,0.413,0.0576,0.2548,0.5058
9,0.4086,0.0585,0.2473,0.5058
10,0.405,0.0584,0.2436,0.5058
11,0.4014,0.0584,0.2473,0.5058
12,0.3981,0.0584,0.2131,0.5058
13,0.3964,0.0581,0.2404,0.5058
14,0.3945,0.0583,0.2265,0.5058
15,0.3928,0.0577,0.228,0.5058
16,0.3911,0.0579,0.2376,0.5058
17,0.3901,0.0576,0.234,0.5058
18,0.3893,0.0573,0.2073,0.5058
19,0.3879,0.0575,0.2195,0.5058
20,0.387,0.0581,0.234,0.5058
21,0.3868,0.0577,0.2308,0.5058
22,0.3864,0.0581,0.2264,0.5058
23,0.3862,0.0576,0.2264,0.5058
24,0.3861,0.0575,0.2019,0.5058
25,0.3856,0.0573,0.2195,0.5058
26,0.3851,0.0576,0.2177,0.5058
27,0.3852,0.0577,0.2073,0.5058
28,0.3848,0.0578,0.2225,0.5058
29,0.3843,0.0575,0.2291,0.5058
30,0.3848,0.0574,0.2115,0.5058
31,0.3841,0.0571,0.234,0.5058
32,0.3836,0.0578,0.2228,0.5058
33,0.3838,0.0578,0.2308,0.5058
34,0.3835,0.0575,0.2195,0.5058
35,0.3831,0.0575,0.2131,0.5058
36,0.3832,0.0575,0.2225,0.5058
37,0.3833,0.0575,0.2131,0.5058
38,0.3838,0.0574,0.234,0.5058
39,0.3835,0.0573,0.2264,0.5058
40,0.3834,0.0572,0.2369,0.5058
41,0.3831,0.0571,0.2131,0.5058
42,0.3827,0.0576,0.2212,0.5058
43,0.3826,0.0575,0.234,0.5058
44,0.3823,0.0571,0.2244,0.5058
45,0.3818,0.0572,0.2051,0.5058
46,0.382,0.0578,0.228,0.5058
47,0.3823,0.0574,0.2264,0.5058
48,0.3823,0.0577,0.2195,0.5058
49,0.3822,0.0576,0.2273,0.5058
50,0.382,0.0576,0.2131,0.5058
51,0.382,0.0577,0.2131,0.5058
52,0.3818,0.0574,0.2035,0.5058
