Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7
0.1874,0.1824,0.1793,0.1882,0.1825,0.1923,0.1801
0.1899,0.1874,0.1898,0.1899,0.1849,0.1923,0.1841
0.1899,0.1874,0.1898,0.1899,0.1849,0.1923,0.1841
0.1907,0.1923,0.1898,0.1899,0.1874,0.1923,0.1857
0.1907,0.1923,0.1907,0.1931,0.189,0.1923,0.1866
0.1907,0.1955,0.1915,0.1947,0.1907,0.1923,0.1866
0.2021,0.1955,0.2021,0.1947,0.1939,0.1972,0.1923
0.2021,0.1955,0.2021,0.1988,0.2053,0.2005,0.1939
0.2021,0.198,0.2021,0.2029,0.2053,0.2005,0.1939
0.2061,0.2069,0.2021,0.2029,0.2053,0.2005,0.1939
0.2061,0.2069,0.2021,0.2029,0.2053,0.2045,0.1939
0.2069,0.2086,0.2086,0.2135,0.2053,0.2045,0.1939
0.2069,0.2086,0.2086,0.2135,0.2086,0.2127,0.1939
0.2119,0.2086,0.2086,0.2135,0.2086,0.2127,0.1939
0.2119,0.2167,0.2127,0.2167,0.2094,0.2127,0.1939
0.2159,0.2167,0.2127,0.2167,0.2159,0.2127,0.1939
0.2233,0.2175,0.2167,0.2167,0.2159,0.2151,0.1939
0.2265,0.2175,0.2167,0.2192,0.2159,0.2192,0.1939
0.2273,0.2175,0.2233,0.2233,0.2167,0.2192,0.1939
0.2306,0.22,0.2233,0.2265,0.2167,0.2192,0.1939
0.2306,0.22,0.2257,0.2265,0.2273,0.2192,0.1939
0.2306,0.2225,0.2257,0.2281,0.2273,0.22,0.1939
0.2306,0.2273,0.2257,0.2281,0.2273,0.2233,0.1939
0.2306,0.2273,0.2265,0.2281,0.2273,0.2281,0.1939
0.2379,0.2273,0.2265,0.2306,0.2298,0.2322,0.1939
0.2379,0.2306,0.2347,0.2314,0.2322,0.2322,0.1939
0.2379,0.2322,0.2371,0.2314,0.2322,0.2355,0.1939
0.2379,0.2339,0.2371,0.2355,0.2322,0.2518,0.1939
0.2379,0.2339,0.2371,0.2355,0.2428,0.2518,0.1939
0.2379,0.2339,0.2371,0.2428,0.2428,0.2518,0.1939
0.2412,0.2347,0.2371,0.2428,0.2428,0.2518,0.1939
0.2412,0.2387,0.242,0.2428,0.2428,0.2518,0.1939
0.2412,0.2445,0.242,0.2436,0.2428,0.2518,0.1939
0.2412,0.2445,0.242,0.2436,0.2428,0.2518,0.1939
0.2412,0.2445,0.242,0.2461,0.2428,0.2518,0.1939
0.2453,0.2445,0.2436,0.2509,0.2469,0.2518,0.1939
0.2453,0.2453,0.2461,0.2509,0.2493,0.2526,0.1939
0.2453,0.2453,0.2461,0.2509,0.2501,0.2526,0.1939
0.2484,0.2476,0.2461,0.2509,0.2501,0.2526,0.1939
0.2485,0.2476,0.2461,0.2567,0.2501,0.2526,0.1939
0.2485,0.2476,0.2461,0.2567,0.2501,0.2526,0.1939
0.2485,0.2477,0.2477,0.2567,0.2517,0.2526,0.1939
0.2485,0.2477,0.2509,0.2607,0.2542,0.2559,0.1939
0.2485,0.2501,0.2509,0.2607,0.2542,0.2559,0.1939
0.2526,0.2534,0.2559,0.2607,0.2558,0.2559,0.1939
0.2582,0.2534,0.2559,0.2607,0.2558,0.2575,0.1939
0.2582,0.2534,0.2559,0.2607,0.2598,0.2575,0.1939
0.259,0.2567,0.2559,0.264,0.2598,0.2575,0.1939
