Generation,Best,Mean,Std,Min,Max
1,0.1866,0.1345,0.0125,0.0839,0.1866
2,0.1866,0.1393,0.0109,0.0986,0.1866
3,0.1866,0.1423,0.0106,0.0953,0.1866
4,0.1866,0.1449,0.0104,0.1027,0.1866
5,0.1866,0.1472,0.0104,0.097,0.1866
6,0.1882,0.1494,0.0104,0.0913,0.1882
7,0.1939,0.1512,0.0103,0.0986,0.1939
8,0.1939,0.1532,0.0102,0.1051,0.1939
9,0.1972,0.1549,0.0102,0.1067,0.1972
10,0.2005,0.1566,0.0104,0.1125,0.2005
11,0.2005,0.1585,0.0104,0.1067,0.2005
12,0.2029,0.1603,0.0104,0.11,0.2029
13,0.2045,0.162,0.0104,0.1125,0.2045
14,0.2053,0.1637,0.0104,0.1133,0.2053
15,0.2053,0.1655,0.0103,0.1092,0.2053
16,0.2086,0.1672,0.0103,0.1125,0.2086
17,0.2102,0.1688,0.0104,0.1247,0.2102
18,0.2102,0.1705,0.0103,0.1214,0.2102
19,0.2102,0.1721,0.0102,0.1214,0.2102
20,0.2102,0.1736,0.0102,0.1255,0.2102
21,0.2119,0.1751,0.0101,0.1296,0.2119
22,0.2127,0.1764,0.01,0.1271,0.2127
23,0.2159,0.1778,0.0099,0.1271,0.2159
24,0.2159,0.1791,0.0099,0.1279,0.2159
25,0.2216,0.1803,0.0099,0.1263,0.2216
26,0.2232,0.1814,0.01,0.1287,0.2232
27,0.2256,0.1826,0.01,0.1377,0.2256
28,0.2256,0.1838,0.01,0.1206,0.2256
29,0.2256,0.185,0.0099,0.1393,0.2256
30,0.2256,0.1861,0.01,0.1287,0.2256
31,0.2363,0.1874,0.01,0.1377,0.2363
32,0.2363,0.1884,0.0101,0.1353,0.2363
33,0.2363,0.1896,0.0102,0.1426,0.2363
34,0.2363,0.1907,0.0102,0.1393,0.2363
35,0.2363,0.1917,0.0102,0.1426,0.2363
36,0.2363,0.1926,0.0104,0.1442,0.2363
37,0.2363,0.1937,0.0105,0.1434,0.2363
38,0.2363,0.1945,0.0105,0.1426,0.2363
39,0.237,0.1956,0.0105,0.1385,0.237
40,0.237,0.1965,0.0104,0.1434,0.237
41,0.237,0.1975,0.0105,0.1426,0.237
42,0.237,0.1986,0.0104,0.1345,0.237
43,0.2378,0.1994,0.0104,0.1426,0.2378
44,0.2395,0.2003,0.0105,0.132,0.2395
45,0.2395,0.2011,0.0104,0.1532,0.2395
46,0.2395,0.2019,0.0104,0.1434,0.2395
47,0.2403,0.2028,0.0104,0.1426,0.2403
48,0.2517,0.2036,0.0103,0.1524,0.2517
49,0.2517,0.2045,0.0103,0.1426,0.2517
50,0.2517,0.2054,0.0103,0.1499,0.2517
51,0.2517,0.2062,0.0103,0.1573,0.2517
52,0.2517,0.207,0.0103,0.1621,0.2517
53,0.2517,0.2079,0.0101,0.1467,0.2517
54,0.2517,0.2086,0.0101,0.1573,0.2517
55,0.2517,0.2093,0.0102,0.1565,0.2517
56,0.2518,0.21,0.0101,0.1638,0.2518
57,0.2518,0.2107,0.0102,0.1613,0.2518
58,0.2542,0.2116,0.0102,0.1524,0.2542
59,0.2542,0.2124,0.0101,0.1679,0.2542
60,0.2542,0.213,0.0102,0.1695,0.2542
61,0.2542,0.2138,0.0103,0.1621,0.2542
62,0.2542,0.2145,0.0103,0.1695,0.2542
63,0.255,0.2151,0.0103,0.1654,0.255
64,0.255,0.2157,0.0104,0.1703,0.255
65,0.255,0.2162,0.0103,0.1752,0.255
66,0.255,0.2168,0.0104,0.1695,0.255
67,0.255,0.2173,0.0104,0.167,0.255
68,0.2575,0.2177,0.0105,0.176,0.2575
69,0.2575,0.2182,0.0104,0.176,0.2575
70,0.2582,0.2188,0.0105,0.167,0.2582
71,0.259,0.2193,0.0104,0.176,0.259
72,0.259,0.2198,0.0103,0.1752,0.259
73,0.2607,0.2202,0.0103,0.1801,0.2607
74,0.2607,0.2208,0.0104,0.1671,0.2607
75,0.264,0.2213,0.0104,0.1727,0.264
76,0.264,0.2218,0.0104,0.1801,0.264
77,0.264,0.2223,0.0105,0.1727,0.264
78,0.264,0.2227,0.0105,0.176,0.264
79,0.264,0.2232,0.0105,0.1817,0.264
80,0.2656,0.2237,0.0105,0.1768,0.2656
81,0.2656,0.2242,0.0106,0.1809,0.2656
82,0.2656,0.2246,0.0106,0.1793,0.2656
83,0.2696,0.225,0.0107,0.1817,0.2696
84,0.2696,0.2255,0.0106,0.1833,0.2696
85,0.2696,0.2258,0.0107,0.176,0.2696
86,0.2696,0.2263,0.0107,0.1817,0.2696
87,0.2696,0.2268,0.0107,0.1784,0.2696
88,0.2696,0.2273,0.0108,0.1809,0.2696
89,0.2696,0.2276,0.0108,0.1841,0.2696
90,0.2696,0.228,0.0108,0.176,0.2696
91,0.2696,0.2284,0.0108,0.1793,0.2696
92,0.2696,0.2287,0.0108,0.1849,0.2696
93,0.2696,0.229,0.011,0.1825,0.2696
94,0.2696,0.2294,0.011,0.1825,0.2696
95,0.277,0.2299,0.0111,0.1784,0.277
96,0.277,0.2303,0.0112,0.1841,0.277
97,0.277,0.2308,0.0111,0.189,0.277
98,0.277,0.2311,0.0111,0.1809,0.277
99,0.277,0.2314,0.0112,0.1833,0.277
100,0.277,0.2319,0.0113,0.1833,0.277
101,0.277,0.2324,0.0113,0.1793,0.277
102,0.2786,0.2329,0.0112,0.1858,0.2786
103,0.2786,0.2333,0.0114,0.1825,0.2786
104,0.2786,0.2337,0.0115,0.1939,0.2786
105,0.281,0.2341,0.0115,0.1825,0.281
106,0.2851,0.2344,0.0117,0.1825,0.2851
107,0.2851,0.2347,0.0117,0.1825,0.2851
108,0.2851,0.2351,0.012,0.1874,0.2851
109,0.2851,0.2355,0.012,0.1907,0.2851
110,0.2851,0.2358,0.0121,0.1947,0.2851
111,0.2851,0.2361,0.0122,0.1833,0.2851
112,0.2851,0.2363,0.0123,0.1785,0.2851
113,0.2851,0.2367,0.0124,0.1785,0.2851
114,0.2851,0.237,0.0125,0.1793,0.2851
115,0.2851,0.2372,0.0125,0.1858,0.2851
116,0.2851,0.2375,0.0125,0.1752,0.2851
117,0.2851,0.2377,0.0126,0.1833,0.2851
118,0.2859,0.2379,0.0127,0.1891,0.2859
119,0.2859,0.2383,0.0127,0.1923,0.2859
120,0.2859,0.2384,0.0128,0.1858,0.2859
121,0.2859,0.2385,0.0128,0.1907,0.2859
122,0.2859,0.2388,0.0128,0.1915,0.2859
123,0.2859,0.2389,0.0129,0.1899,0.2859
124,0.2859,0.2392,0.0129,0.1931,0.2859
125,0.2859,0.2394,0.013,0.1939,0.2859
126,0.2884,0.2396,0.013,0.1939,0.2884
127,0.2884,0.2398,0.0131,0.1947,0.2884
128,0.2884,0.24,0.0131,0.1899,0.2884
129,0.2925,0.2402,0.0132,0.1841,0.2925
130,0.2925,0.2405,0.0131,0.1923,0.2925
131,0.2925,0.2406,0.0132,0.1825,0.2925
132,0.2925,0.2408,0.0131,0.1899,0.2925
133,0.2925,0.2411,0.013,0.1931,0.2925
134,0.2925,0.2411,0.0131,0.1899,0.2925
135,0.2925,0.2413,0.013,0.1866,0.2925
136,0.2925,0.2416,0.013,0.1907,0.2925
137,0.2925,0.2417,0.0131,0.1899,0.2925
138,0.2925,0.2419,0.013,0.1939,0.2925
139,0.2925,0.242,0.0131,0.1744,0.2925
140,0.2925,0.2423,0.0131,0.1923,0.2925
141,0.2925,0.2425,0.0131,0.1907,0.2925
142,0.2925,0.2427,0.0131,0.1931,0.2925
143,0.2933,0.2429,0.0131,0.198,0.2933
144,0.2933,0.2431,0.013,0.1972,0.2933
145,0.2933,0.2432,0.0131,0.1899,0.2933
146,0.2933,0.2434,0.0131,0.1939,0.2933
147,0.2933,0.2436,0.0132,0.1915,0.2933
148,0.2933,0.2437,0.0131,0.1907,0.2933
149,0.2933,0.2439,0.0131,0.1907,0.2933
150,0.2933,0.2441,0.0131,0.1939,0.2933
151,0.2933,0.2442,0.0132,0.1866,0.2933
152,0.2957,0.2443,0.0132,0.1939,0.2957
153,0.2957,0.2445,0.0132,0.2013,0.2957
154,0.2957,0.2447,0.0133,0.1939,0.2957
155,0.2957,0.2449,0.0134,0.1915,0.2957
156,0.2957,0.245,0.0133,0.1899,0.2957
157,0.2957,0.2452,0.0133,0.1899,0.2957
158,0.2957,0.2453,0.0133,0.1972,0.2957
159,0.2957,0.2455,0.0133,0.1915,0.2957
160,0.2957,0.2456,0.0134,0.1955,0.2957
161,0.2957,0.2458,0.0133,0.1891,0.2957
162,0.2957,0.2458,0.0133,0.1947,0.2957
163,0.2957,0.246,0.0133,0.1947,0.2957
164,0.2957,0.2461,0.0134,0.1947,0.2957
165,0.2957,0.2463,0.0134,0.1972,0.2957
166,0.2957,0.2465,0.0135,0.1939,0.2957
167,0.2957,0.2466,0.0136,0.1899,0.2957
168,0.2957,0.2467,0.0137,0.1964,0.2957
169,0.2957,0.2468,0.0137,0.1939,0.2957
170,0.2957,0.2469,0.0137,0.1947,0.2957
