Generation,Best,Mean,Std,Min,Max
1,0.1793,0.1349,0.0137,0.0807,0.1793
2,0.1898,0.1409,0.011,0.0905,0.1898
3,0.1898,0.1448,0.0103,0.0953,0.1898
4,0.1898,0.1479,0.0099,0.1002,0.1898
5,0.1907,0.1505,0.0097,0.0945,0.1907
6,0.1915,0.1529,0.0096,0.1059,0.1915
7,0.2021,0.1551,0.0096,0.0994,0.2021
8,0.2021,0.1572,0.0095,0.1035,0.2021
9,0.2021,0.1592,0.0094,0.1027,0.2021
10,0.2021,0.161,0.0094,0.0905,0.2021
11,0.2021,0.1628,0.0095,0.1124,0.2021
12,0.2086,0.1648,0.0095,0.1092,0.2086
13,0.2086,0.1666,0.0097,0.1133,0.2086
14,0.2086,0.1683,0.0098,0.1125,0.2086
15,0.2127,0.17,0.0099,0.1206,0.2127
16,0.2127,0.1716,0.0099,0.1157,0.2127
17,0.2167,0.1733,0.01,0.1222,0.2167
18,0.2167,0.1749,0.0102,0.1206,0.2167
19,0.2233,0.1765,0.0103,0.1214,0.2233
20,0.2233,0.1781,0.0105,0.1165,0.2233
21,0.2257,0.1797,0.0106,0.1271,0.2257
22,0.2257,0.1813,0.0107,0.1247,0.2257
23,0.2257,0.1826,0.0108,0.1173,0.2257
24,0.2265,0.184,0.0109,0.1369,0.2265
25,0.2265,0.1854,0.0111,0.1271,0.2265
26,0.2347,0.1869,0.0113,0.1287,0.2347
27,0.2371,0.1883,0.0114,0.1361,0.2371
28,0.2371,0.1896,0.0115,0.1206,0.2371
29,0.2371,0.191,0.0116,0.132,0.2371
30,0.2371,0.1925,0.0116,0.1393,0.2371
31,0.2371,0.1939,0.0118,0.1369,0.2371
32,0.242,0.1952,0.0118,0.1417,0.242
33,0.242,0.1964,0.0119,0.1353,0.242
34,0.242,0.1978,0.0119,0.1434,0.242
35,0.242,0.1992,0.0119,0.1442,0.242
36,0.2436,0.2007,0.0118,0.1499,0.2436
37,0.2461,0.2021,0.0118,0.1459,0.2461
38,0.2461,0.2034,0.0117,0.1507,0.2461
39,0.2461,0.2047,0.0118,0.1515,0.2461
40,0.2461,0.206,0.0117,0.1532,0.2461
41,0.2461,0.2071,0.0117,0.1523,0.2461
42,0.2477,0.2082,0.0117,0.1475,0.2477
43,0.2509,0.2093,0.0117,0.1515,0.2509
44,0.2509,0.2103,0.0116,0.1507,0.2509
45,0.2559,0.2112,0.0115,0.1507,0.2559
46,0.2559,0.2121,0.0114,0.1556,0.2559
47,0.2559,0.213,0.0114,0.1491,0.2559
48,0.2559,0.2138,0.0114,0.1613,0.2559
49,0.2559,0.2147,0.0113,0.1581,0.2559
50,0.2559,0.2155,0.0114,0.1581,0.2559
51,0.2559,0.2164,0.0113,0.1605,0.2559
52,0.2559,0.2173,0.0112,0.1507,0.2559
53,0.2582,0.2181,0.0112,0.1646,0.2582
54,0.2582,0.2189,0.0111,0.1646,0.2582
