,Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7
Total execution time (s),2739.670079231262,2768.118824005127,2784.866536140442,2828.8262922763824,2749.389188051224,2768.4553294181824,2688.6616888046265
Total execution time (min),45.6611679871877,46.13531373341878,46.41444226900737,47.14710487127304,45.82315313418706,46.14092215696971,44.81102814674377
Average time per run (s),91.32214254538218,92.2704213619232,92.82847328980765,94.29328846136728,91.64586699803672,92.28168206214905,89.6215568860372
Average time per run (min),1.522035709089703,1.5378403560320535,1.547141221496794,1.5715548076894548,1.5274311166339452,1.5380280343691508,1.4936926147672867
Fastest run (s),86.18782043457031,88.83523845672607,91.74316692352296,91.41267585754396,90.20786786079408,90.7530872821808,88.6706314086914
Fastest run (min),1.4364636739095051,1.4805873076121012,1.529052782058716,1.5235445976257325,1.5034644643465678,1.512551454703013,1.4778438568115235
Slowest run (s),150.60070776939392,94.69406127929688,94.55051445961,95.69214034080504,93.5760416984558,100.71840739250185,95.22938251495361
Slowest run (min),2.5100117961565656,1.578234354654948,1.5758419076601664,1.5948690056800845,1.5596006949742636,1.678640123208364,1.5871563752492268
Standard deviation (s),12.234095842152373,1.4356976609706045,0.6408207180931902,0.8571397782647067,0.7004428825106583,1.8219839977180632,1.1760614301313619
Best fitness,0.3152399171050534,0.3356448270365056,0.3380360274190976,0.3453690419257134,0.3486370157819225,0.3323768531802965,0.2053244061852384
