,Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7
Total execution time (s),5.574451446533203,5.4278974533081055,5.454453706741333,5.539620637893677,5.586175918579102,5.573076963424683,5.569294452667236
Total execution time (min),0.0929075241088867,0.090464957555135,0.0909075617790222,0.0923270106315612,0.0931029319763183,0.092884616057078,0.09282157421112061
Average time per run (s),0.1845284382502238,0.1809135437011718,0.1809310356775919,0.1841987768809,0.1859225829442342,0.185701584815979,0.1851143519083659
Average time per run (min),0.003075473970837,0.0030152257283528,0.0030155172612931,0.0030699796146816,0.0030987097157372,0.0030950264135996,0.0030852391984727647
Fastest run (s),0.1710858345031738,0.1688520908355713,0.1675138473510742,0.1665558815002441,0.1683926582336425,0.1683027744293213,0.15863275527954102
Fastest run (min),0.0028514305750528,0.0028142015139261,0.0027918974558512,0.0027759313583374,0.002806544303894,0.0028050462404886,0.002643879254659017
Slowest run (s),0.2405295372009277,0.1973063945770263,0.2033896446228027,0.1972272396087646,0.2166547775268554,0.2139670848846435,0.26897764205932617
Slowest run (min),0.0040088256200154,0.0032884399096171,0.00338982741038,0.003287120660146,0.0036109129587809,0.0035661180814107,0.00448296070098877
Standard deviation (s),0.0133865231194428,0.0080355806840666,0.0078209719767757,0.0080687431200696,0.0113567332300044,0.0111048515745588,0.021100082002912513
Best fitness,0.1979913916786226,0.2012593655348318,0.1947234178224135,0.1914554439662044,0.1914554439662044,0.2012593655348318,0.18571656304798345
